symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOGL,2021-03-17 00:00:00+00:00,7.4,7.45,7.12,7.16,1065223,5.3149362724,5.3508480039,5.1138305756,5.1425599608,1065223,0.0,1.0
GOGL,2021-03-18 00:00:00+00:00,7.52,7.83,7.49,7.53,1123494,5.4011244281,5.6237771639,5.3795773892,5.4083067744,1123494,0.0,1.0
GOGL,2021-03-19 00:00:00+00:00,7.66,7.72,7.45,7.59,792308,5.5016772765,5.5447713544,5.3508480039,5.4514008523,792308,0.0,1.0
GOGL,2021-03-22 00:00:00+00:00,7.67,7.83,7.62,7.73,746404,5.5088596228,5.6237771639,5.4729478913,5.5519537007,746404,0.0,1.0
GOGL,2021-03-23 00:00:00+00:00,6.875,7.35,6.84,7.35,1200615,4.9378630909,5.2790245408,4.9127248788,5.2790245408,1200615,0.0,1.0
GOGL,2021-03-24 00:00:00+00:00,6.88,7.11,6.87,7.03,734611,4.941454264,5.1066482293,4.9342719177,5.0491894587,734611,0.0,1.0
GOGL,2021-03-25 00:00:00+00:00,7.35,7.4,6.76,6.89,1107040,5.2790245408,5.3149362724,4.8552661083,4.9486366104,1107040,0.0,1.0
GOGL,2021-03-26 00:00:00+00:00,7.165,7.4,7.08,7.38,833758,5.146151134,5.3149362724,5.0851011903,5.3005715797,833758,0.0,1.0
GOGL,2021-03-29 00:00:00+00:00,6.9,7.13,6.855,7.13,672594,4.9558189567,5.1210129219,4.9234983983,5.1210129219,672594,0.0,1.0
GOGL,2021-03-30 00:00:00+00:00,6.84,6.89,6.79,6.83,446379,4.9127248788,4.9486366104,4.8768131472,4.9055425325,446379,0.0,1.0
GOGL,2021-03-31 00:00:00+00:00,6.705,6.86,6.62,6.85,688354,4.8157632035,4.9270895714,4.7547132599,4.9199072251,688354,0.0,1.0
GOGL,2021-04-01 00:00:00+00:00,6.855,6.925,6.75,6.75,431026,4.9234983983,4.9737748224,4.848083762,4.848083762,431026,0.0,1.0
